Pattern:3046015 Class_WT:616 //  Sort_WT:508 --> DIFF_WT:-108
Pattern:3046024 Class_WT:376 //  Sort_WT:236 --> DIFF_WT:-140
Pattern:3049149 Class_WT:788 //  Sort_WT:760 --> DIFF_WT:-28
Pattern:3049159 Class_WT:768 //  Sort_WT:732 --> DIFF_WT:-36
Pattern:3049193 Class_WT:744 //  Sort_WT:716 --> DIFF_WT:-28
Pattern:3091265 Class_WT:10000 //  Sort_WT:128 --> DIFF_WT:-9872
Pattern:3091265 Class_WT:232 //  Sort_WT:128 --> DIFF_WT:-104
Pattern:3091267 Class_WT:180 //  Sort_WT:112 --> DIFF_WT:-68
Pattern:3375295 Class_WT:180 //  Sort_WT:156 --> DIFF_WT:-24
Pattern:3375296 Class_WT:180 //  Sort_WT:156 --> DIFF_WT:-24
Pattern:3765470 Class_WT:1208 //  Sort_WT:20 --> DIFF_WT:-1188
Pattern:3992155 Class_WT:756 //  Sort_WT:540 --> DIFF_WT:-216
Pattern:4433299 Class_WT:192 //  Sort_WT:124 --> DIFF_WT:-68
Pattern:4433300 Class_WT:196 //  Sort_WT:124 --> DIFF_WT:-72
Pattern:4433341 Class_WT:176 //  Sort_WT:116 --> DIFF_WT:-60
Pattern:4559843 Class_WT:696 //  Sort_WT:508 --> DIFF_WT:-188
