Pattern:2017490 Class_WT:108 //  Sort_WT:7520 --> DIFF_WT:7412
Pattern:2099270 Class_WT:2344 //  Sort_WT:7520 --> DIFF_WT:5176
Pattern:2099271 Class_WT:2340 //  Sort_WT:2800 --> DIFF_WT:460
Pattern:2099271 Class_WT:2340 //  Sort_WT:7520 --> DIFF_WT:5180
Pattern:2176879 Class_WT:1344 //  Sort_WT:7520 --> DIFF_WT:6176
Pattern:2220162 Class_WT:212 //  Sort_WT:7520 --> DIFF_WT:7308
Pattern:2255235 Class_WT:156 //  Sort_WT:3840 --> DIFF_WT:3684
Pattern:2255235 Class_WT:156 //  Sort_WT:7520 --> DIFF_WT:7364
Pattern:2592886 Class_WT:96 //  Sort_WT:7520 --> DIFF_WT:7424
Pattern:2638135 Class_WT:1712 //  Sort_WT:7520 --> DIFF_WT:5808
Pattern:2715086 Class_WT:124 //  Sort_WT:7520 --> DIFF_WT:7396
Pattern:2715201 Class_WT:120 //  Sort_WT:7520 --> DIFF_WT:7400
Pattern:2715738 Class_WT:564 //  Sort_WT:7520 --> DIFF_WT:6956
Pattern:2715763 Class_WT:616 //  Sort_WT:7520 --> DIFF_WT:6904
Pattern:2715834 Class_WT:76 //  Sort_WT:7520 --> DIFF_WT:7444
Pattern:2715874 Class_WT:88 //  Sort_WT:7520 --> DIFF_WT:7432
Pattern:2715902 Class_WT:308 //  Sort_WT:7520 --> DIFF_WT:7212
Pattern:2742553 Class_WT:332 //  Sort_WT:7520 --> DIFF_WT:7188
Pattern:2742560 Class_WT:228 //  Sort_WT:7520 --> DIFF_WT:7292
Pattern:2742561 Class_WT:288 //  Sort_WT:500 --> DIFF_WT:212
Pattern:2742561 Class_WT:288 //  Sort_WT:7520 --> DIFF_WT:7232
Pattern:2742565 Class_WT:152 //  Sort_WT:1000 --> DIFF_WT:848
Pattern:2742565 Class_WT:152 //  Sort_WT:7520 --> DIFF_WT:7368
Pattern:2742566 Class_WT:672 //  Sort_WT:1156 --> DIFF_WT:484
Pattern:2742566 Class_WT:672 //  Sort_WT:7520 --> DIFF_WT:6848
Pattern:2742567 Class_WT:232 //  Sort_WT:7520 --> DIFF_WT:7288
Pattern:2742569 Class_WT:320 //  Sort_WT:548 --> DIFF_WT:228
Pattern:2742569 Class_WT:320 //  Sort_WT:7520 --> DIFF_WT:7200
Pattern:2758133 Class_WT:628 //  Sort_WT:7520 --> DIFF_WT:6892
Pattern:2758137 Class_WT:624 //  Sort_WT:7520 --> DIFF_WT:6896
Pattern:2779779 Class_WT:408 //  Sort_WT:7520 --> DIFF_WT:7112
Pattern:2780941 Class_WT:548 //  Sort_WT:7520 --> DIFF_WT:6972
Pattern:2783877 Class_WT:224 //  Sort_WT:608 --> DIFF_WT:384
Pattern:2783877 Class_WT:224 //  Sort_WT:7520 --> DIFF_WT:7296
Pattern:2911415 Class_WT:428 //  Sort_WT:7520 --> DIFF_WT:7092
Pattern:2953721 Class_WT:140 //  Sort_WT:7520 --> DIFF_WT:7380
Pattern:3045906 Class_WT:552 //  Sort_WT:7520 --> DIFF_WT:6968
Pattern:3046002 Class_WT:152 //  Sort_WT:7520 --> DIFF_WT:7368
Pattern:3046006 Class_WT:400 //  Sort_WT:7520 --> DIFF_WT:7120
Pattern:3046015 Class_WT:616 //  Sort_WT:7520 --> DIFF_WT:6904
Pattern:3046024 Class_WT:376 //  Sort_WT:7520 --> DIFF_WT:7144
Pattern:3049149 Class_WT:788 //  Sort_WT:7520 --> DIFF_WT:6732
Pattern:3049159 Class_WT:768 //  Sort_WT:7520 --> DIFF_WT:6752
Pattern:3049193 Class_WT:744 //  Sort_WT:7520 --> DIFF_WT:6776
Pattern:3091265 Class_WT:148 //  Sort_WT:20000 --> DIFF_WT:19852
Pattern:3091265 Class_WT:148 //  Sort_WT:7520 --> DIFF_WT:7372
Pattern:3091267 Class_WT:180 //  Sort_WT:7520 --> DIFF_WT:7340
Pattern:3270941 Class_WT:468 //  Sort_WT:7520 --> DIFF_WT:7052
Pattern:3270943 Class_WT:480 //  Sort_WT:7520 --> DIFF_WT:7040
Pattern:3375214 Class_WT:980 //  Sort_WT:7520 --> DIFF_WT:6540
Pattern:3375295 Class_WT:180 //  Sort_WT:7520 --> DIFF_WT:7340
Pattern:3375296 Class_WT:180 //  Sort_WT:7520 --> DIFF_WT:7340
Pattern:3529086 Class_WT:2400 //  Sort_WT:7520 --> DIFF_WT:5120
Pattern:3765470 Class_WT:1000 //  Sort_WT:2000 --> DIFF_WT:1000
