Pattern:1893576 Class_WT:236 //  Sort_WT:236 --> DIFF_WT:0
Pattern:2009208 Class_WT:800 //  Sort_WT:392 --> DIFF_WT:-408
Pattern:2099270 Class_WT:2344 //  Sort_WT:2244 --> DIFF_WT:-100
Pattern:2220162 Class_WT:212 //  Sort_WT:192 --> DIFF_WT:-20
Pattern:3375214 Class_WT:980 //  Sort_WT:920 --> DIFF_WT:-60
Pattern:3765470 Class_WT:2000 //  Sort_WT:2000 --> DIFF_WT:0
Pattern:3765471 Class_WT:800 //  Sort_WT:240 --> DIFF_WT:-560
Pattern:3765471 Class_WT:800 //  Sort_WT:240 --> DIFF_WT:-560
Pattern:3992155 Class_WT:756 //  Sort_WT:756 --> DIFF_WT:0
